trial,bet,sampleFrequency,reportedFrequency,reactionTime,cummulativeError, cummulativeErrorP, sampleFreqP,reportedFrequencyP,mainFrequency,mainFreqP,score,stimulusDuration,timeBtwTriggerAndStim
2,1,383.54274212286924,388.65671641791045,12266,-5.113974295041203,-0.22930904097231963,66.62260604787447,66.8519150888468,391.99543598174927,67.0,97.0,250,1
2,2,383.54274212286924,332.53731343283584,13497,51.0054286900334,2.470453548934925,66.62260604787447,64.15215249893954,391.99543598174927,67.0,97.0,250,1
2,3,383.54274212286924,462.6865671641791,14838,-79.14382504130987,-3.2477742449238933,66.62260604787447,69.87038029279836,391.99543598174927,67.0,97.0,250,1
2,4,383.54274212286924,263.2835820895522,15926,120.25916003331702,6.513237610325062,66.62260604787447,60.109368437549406,391.99543598174927,67.0,97.0,250,1
2,5,383.54274212286924,534.3283582089553,17070,-150.785616086086,-5.7400707088041205,66.62260604787447,72.3626767566786,391.99543598174927,67.0,97.0,250,1
2,6,383.54274212286924,200.0,20108,183.54274212286924,11.272648332873692,66.62260604787447,55.349957715000784,391.99543598174927,67.0,97.0,250,1
3,1,464.6312072120438,482.98507462686564,39876,-18.35386741482182,-0.6707106032805004,69.9429903967384,70.61370100001889,466.1637615180899,70.0,63.0,250,0
3,2,464.6312072120438,412.5373134328358,40875,52.09389377920803,2.0587373012201287,69.9429903967384,67.88425309551826,466.1637615180899,70.0,63.0,250,0
3,3,464.6312072120438,571.3432835820895,41839,-106.71207637004568,-3.579261267953076,69.9429903967384,73.52225166469147,466.1637615180899,70.0,63.0,250,0
3,4,464.6312072120438,305.07462686567163,42992,159.5565803463722,7.2830863346277726,69.9429903967384,62.65990406211062,466.1637615180899,70.0,63.0,250,0
3,5,464.6312072120438,656.1194029850747,44759,-191.48819577303084,-5.974467945511545,69.9429903967384,75.91745834224994,466.1637615180899,70.0,63.0,250,0
3,6,464.6312072120438,248.955223880597,58631,215.67598333144682,10.802397224543268,69.9429903967384,59.140593172195125,466.1637615180899,70.0,63.0,250,0
4,1,625.3991826096395,574.9253731343283,77132,50.473809475311214,1.4568315741376827,75.08728571911836,73.63045414498067,622.2539674441618,75.0,3.0,250,1
4,2,625.3991826096395,475.820895522388,78041,149.5782870872515,4.7323044603735305,75.08728571911836,70.35498125874483,622.2539674441618,75.0,3.0,250,1
4,3,625.3991826096395,664.4776119402984,79529,-39.07842933065888,-1.0493190998443203,75.08728571911836,76.13660481896267,622.2539674441618,75.0,7.0,250,1
4,4,625.3991826096395,394.6268656716418,81496,230.77231693799774,7.971457890166892,75.08728571911836,67.11582782895147,622.2539674441618,75.0,7.0,250,1
4,5,625.3991826096395,763.5820895522388,82731,-138.1829069425993,-3.4560711583204538,75.08728571911836,78.54335687743881,622.2539674441618,75.0,7.0,250,1
4,6,625.3991826096395,312.23880597014926,84321,313.16037663949027,12.025529793295894,75.08728571911836,63.06175592582246,622.2539674441618,75.0,7.0,250,1
5,1,540.905857427373,259.7014925373134,105193,281.2043648900596,12.702278580206425,72.57448795989868,59.87220937969225,554.3652619537442,73.0,0.0,250,0
5,2,540.905857427373,233.43283582089552,106522,307.47302160647746,14.548440101351284,72.57448795989868,58.02604785854739,554.3652619537442,73.0,0.0,250,0
5,3,540.905857427373,306.2686567164179,107585,234.63720071095509,9.846957481754862,72.57448795989868,62.72753047814381,554.3652619537442,73.0,0.0,250,0
5,4,540.905857427373,344.4776119402985,109106,196.4282454870745,7.811607565293721,72.57448795989868,64.76288039460495,554.3652619537442,73.0,0.0,250,0
5,5,540.905857427373,368.35820895522386,110483,172.54764847214915,6.6512175192464955,72.57448795989868,65.92327044065217,554.3652619537442,73.0,0.0,250,0
5,6,540.905857427373,326.56716417910445,111761,214.33869324826856,8.735973395528834,72.57448795989868,63.83851456436984,554.3652619537442,73.0,0.0,250,0
