trial,bet,sampleFrequency,reportedFrequency,reactionTime,cummulativeError, cummulativeErrorP, sampleFreqP,reportedFrequencyP,mainFrequency,mainFreqP,score,stimulusDuration,timeBtwTriggerAndStim
2,1,401.0711786794423,362.3880597014925,9988,38.68311897794979,1.7558745078926075,67.39625727381996,65.64038276592734,391.99543598174927,67.0,12.0,250,2
2,2,401.0711786794423,276.4179104477612,11039,124.65326823168112,6.444086383837957,67.39625727381996,60.952170889982,391.99543598174927,67.0,12.0,250,2
2,3,401.0711786794423,438.8059701492537,12167,-37.7347914698114,-1.5566982937239269,67.39625727381996,68.95295556754388,391.99543598174927,67.0,15.0,250,2
2,4,401.0711786794423,200.0,13223,201.0711786794423,12.046299558819175,67.39625727381996,55.349957715000784,391.99543598174927,67.0,15.0,250,2
2,5,401.0711786794423,537.9104477611941,14952,-136.83926908175175,-5.082092566801672,67.39625727381996,72.47834984062163,391.99543598174927,67.0,15.0,250,2
2,6,401.0711786794423,484.17910447761193,27611,-83.10792579816962,-3.2601902676464833,67.39625727381996,70.65644754146643,391.99543598174927,67.0,15.0,250,2
3,1,747.7619805129101,768.3582089552239,3328,-20.59622844231376,-0.4703991928290562,78.18090715667853,78.65130634950758,739.9888454232688,78.0,55.0,250,0
3,2,747.7619805129101,840.0,4727,-92.2380194870899,-2.0137224930190283,78.18090715667853,80.19462964969756,739.9888454232688,78.0,55.0,250,0
3,3,747.7619805129101,672.8358208955224,5790,74.92615961738773,1.827895263752713,78.18090715667853,76.35301189292582,739.9888454232688,78.0,55.0,250,0
3,4,747.7619805129101,914.0298507462686,6820,-166.2678702333585,-3.4759459441780876,78.18090715667853,81.65685310085662,739.9888454232688,78.0,55.0,250,0
3,5,747.7619805129101,596.4179104477612,8076,151.3440700651489,3.9150664523103464,78.18090715667853,74.26584070436819,739.9888454232688,78.0,55.0,250,0
3,6,747.7619805129101,984.4776119402984,9417,-236.7156314273883,-4.761351335430239,78.18090715667853,82.94225849210876,739.9888454232688,78.0,55.0,250,0
4,1,616.3140910495005,NaN,NaN,NaN,NaN,74.83394703216035,NaN,622.2539674441618,75.0,0,250,0
4,2,616.3140910495005,1284.1791044776119,26928,-667.8650134281114,-12.70930497177554,74.83394703216035,87.54325200393589,622.2539674441618,75.0,0.0,250,0
4,3,616.3140910495005,1352.238805970149,28588,-735.9247149206486,-13.603347277901978,74.83394703216035,88.43729431006233,622.2539674441618,75.0,0.0,250,0
4,4,616.3140910495005,755.2238805970148,30498,-138.90978954751438,-3.518863293678877,74.83394703216035,78.35281032583923,622.2539674441618,75.0,0.0,250,0
4,5,616.3140910495005,841.1940298507462,31642,-224.87993880124577,-5.385274014414446,74.83394703216035,80.2192210465748,622.2539674441618,75.0,0.0,250,0
4,6,616.3140910495005,929.5522388059701,33459,-313.23814775646963,-7.114442007647252,74.83394703216035,81.94838903980761,622.2539674441618,75.0,0.0,250,0
5,1,461.6611268832871,472.2388059701492,5999,-10.577679086862076,-0.3921880854529409,69.83196881907972,70.22415690453266,466.1637615180899,70.0,85.0,250,1
5,2,461.6611268832871,536.7164179104477,7120,-75.05529102716059,-2.607909137952808,69.83196881907972,72.43987795703254,466.1637615180899,70.0,85.0,250,1
5,3,461.6611268832871,395.820895522388,8199,65.84023136089911,2.663837806869507,69.83196881907972,67.16813101221021,466.1637615180899,70.0,85.0,250,1
5,4,461.6611268832871,635.820895522388,9379,-174.1597686391009,-5.541434053137847,69.83196881907972,75.37340287221757,466.1637615180899,70.0,85.0,250,1
5,5,461.6611268832871,290.74626865671644,10494,170.9148582265707,8.004882983232454,69.83196881907972,61.82708583584727,466.1637615180899,70.0,85.0,250,1
5,6,461.6611268832871,721.7910447761194,12120,-260.1299178928323,-7.736963822768925,69.83196881907972,77.56893264184865,466.1637615180899,70.0,85.0,250,1
