trial,bet,sampleFrequency,reportedFrequency,reactionTime,cummulativeError, cummulativeErrorP, sampleFreqP,reportedFrequencyP,mainFrequency,mainFreqP,score,stimulusDuration,timeBtwTriggerAndStim
2,1,741.303237114888,695.5223880597014,6195,45.78084905518665,1.1036022858007881,78.03072345115966,76.92712116535887,739.9888454232688,78.0,5.0,250,2
2,2,741.303237114888,425.67164179104475,4033,315.63159532384327,9.603873962973841,78.03072345115966,68.42684948818582,739.9888454232688,78.0,5.0,250,2
2,3,741.303237114888,472.2388059701492,1274,269.0644311447388,7.806566546626995,78.03072345115966,70.22415690453266,739.9888454232688,78.0,5.0,250,2
2,4,741.303237114888,541.4925373134329,1434,199.81069980145514,5.437468273958225,78.03072345115966,72.59325517720143,739.9888454232688,78.0,5.0,250,2
2,5,741.303237114888,615.5223880597015,2287,125.78084905518654,3.219029751883196,78.03072345115966,74.81169369927646,739.9888454232688,78.0,5.0,250,2
2,6,741.303237114888,791.044776119403,2574,-49.74153900451495,-1.1243465717545909,78.03072345115966,79.15507002291424,739.9888454232688,78.0,6.0,250,2
3,1,558.9696758937968,656.1194029850747,4612,-97.1497270912779,-2.774260399464289,73.14319794278565,75.91745834224994,554.3652619537442,73.0,0.0,250,0
3,2,558.9696758937968,494.9253731343283,939,64.04430275946845,2.106708153977483,73.14319794278565,71.03648978880817,554.3652619537442,73.0,0.0,250,0
3,3,558.9696758937968,585.6716417910447,890,-26.701965897247987,-0.8078642627043798,73.14319794278565,73.95106220549003,554.3652619537442,73.0,19.0,250,0
3,4,558.9696758937968,775.5223880597015,989,-216.55271216590472,-5.668780933448089,73.14319794278565,78.81197887623374,554.3652619537442,73.0,19.0,250,0
3,5,558.9696758937968,725.3731343283582,973,-166.40345843456146,-4.511439529991234,73.14319794278565,77.65463747277688,554.3652619537442,73.0,19.0,250,0
3,6,558.9696758937968,539.1044776119403,2068,19.865198281856465,0.6264615221561877,73.14319794278565,72.51673642062947,554.3652619537442,73.0,33.0,250,0
4,1,391.1836692913849,342.08955223880594,3961,49.09411705257895,2.321665200942062,66.96411143688408,64.64244623594202,391.99543598174927,67.0,3.0,250,0
4,2,391.1836692913849,274.02985074626866,904,117.15381854511622,6.162157025059223,66.96411143688408,60.80195441182486,391.99543598174927,67.0,3.0,250,0
4,3,391.1836692913849,431.6417910447761,867,-40.4581217533912,-1.7038608973884952,66.96411143688408,68.66797233427258,391.99543598174927,67.0,6.0,250,0
4,4,391.1836692913849,200.0,942,191.1836692913849,11.614153721883302,66.96411143688408,55.349957715000784,391.99543598174927,67.0,6.0,250,0
4,5,391.1836692913849,509.25373134328356,1424,-118.07006205189867,-4.566462029794564,66.96411143688408,71.53057346667865,391.99543598174927,67.0,6.0,250,0
4,6,391.1836692913849,595.2238805970148,1543,-204.04021130562995,-7.267035186753431,66.96411143688408,74.23114662363751,391.99543598174927,67.0,6.0,250,0
5,1,458.9943971600873,309.85074626865674,3911,149.14365089143058,6.802837201014306,69.73167623216804,62.928839031153736,466.1637615180899,70.0,0.0,250,1
5,2,458.9943971600873,242.98507462686567,1263,216.00932253322165,11.011306130113912,69.73167623216804,58.720370102054126,466.1637615180899,70.0,0.0,250,1
5,3,458.9943971600873,386.2686567164179,979,72.7257404436694,2.9864631173987872,69.73167623216804,66.74521311476926,466.1637615180899,70.0,0.0,250,1
5,4,458.9943971600873,200.0,1406,258.9943971600873,14.381718517167261,69.73167623216804,55.349957715000784,466.1637615180899,70.0,0.0,250,1
5,5,458.9943971600873,478.2089552238806,1291,-19.214558063793277,-0.7099752475956452,69.73167623216804,70.44165147976369,466.1637615180899,70.0,31.0,250,1
5,6,458.9943971600873,560.5970149253731,917,-101.60261776528574,-3.4618502305364154,69.73167623216804,73.19352646270445,466.1637615180899,70.0,31.0,250,1
