trial #        run #          Gen. Frequency, Hz    Gen. Frequency, P     Main Frequency, Hz    Main Frequency, P     
1              1              586.80                73.98                 587.33                74.00                 
2              1              572.10                73.55                 587.33                74.00                 
3              1              714.79                77.40                 698.46                77.00                 
4              1              838.02                80.15                 830.61                80.00                 
5              1              844.59                80.29                 830.61                80.00                 
6              1              576.39                73.67                 587.33                74.00                 
7              1              692.27                76.85                 698.46                77.00                 
8              1              486.41                70.74                 493.88                71.00                 
9              1              498.36                71.16                 493.88                71.00                 
10             1              851.29                80.43                 830.61                80.00                 
11             1              489.38                70.84                 493.88                71.00                 
12             1              715.76                77.42                 698.46                77.00                 
13             1              818.91                79.75                 830.61                80.00                 
14             1              595.18                74.23                 587.33                74.00                 
15             1              503.10                71.32                 493.88                71.00                 
16             1              711.79                77.33                 698.46                77.00                 
17             2              852.00                80.44                 830.61                80.00                 
18             2              504.03                71.35                 493.88                71.00                 
19             2              825.20                79.89                 830.61                80.00                 
20             2              843.45                80.27                 830.61                80.00                 
21             2              703.25                77.12                 698.46                77.00                 
22             2              837.86                80.15                 830.61                80.00                 
23             2              600.66                74.39                 587.33                74.00                 
24             2              494.26                71.01                 493.88                71.00                 
25             2              693.79                76.88                 698.46                77.00                 
26             2              708.95                77.26                 698.46                77.00                 
27             2              717.32                77.46                 698.46                77.00                 
28             2              480.75                70.53                 493.88                71.00                 
29             2              576.28                73.67                 587.33                74.00                 
30             2              487.39                70.77                 493.88                71.00                 
31             2              572.58                73.56                 587.33                74.00                 
32             2              584.20                73.91                 587.33                74.00                 
33             3              597.52                74.30                 587.33                74.00                 
34             3              506.75                71.45                 493.88                71.00                 
35             3              603.85                74.48                 587.33                74.00                 
36             3              578.27                73.73                 587.33                74.00                 
37             3              713.64                77.37                 698.46                77.00                 
38             3              703.35                77.12                 698.46                77.00                 
39             3              581.46                73.83                 587.33                74.00                 
40             3              703.09                77.11                 698.46                77.00                 
41             3              491.18                70.90                 493.88                71.00                 
42             3              499.25                71.19                 493.88                71.00                 
43             3              717.39                77.46                 698.46                77.00                 
44             3              853.01                80.46                 830.61                80.00                 
45             3              816.88                79.71                 830.61                80.00                 
46             3              831.29                80.01                 830.61                80.00                 
47             3              823.66                79.85                 830.61                80.00                 
48             3              497.88                71.14                 493.88                71.00                 
--------------------------------------------------------------------------------
