trial #        run #          Gen. Frequency, Hz    Gen. Frequency, P     Main Frequency, Hz    Main Frequency, P     
1              1              497.04                71.11                 493.88                71.00                 
2              1              690.38                76.80                 698.46                77.00                 
3              1              830.25                79.99                 830.61                80.00                 
4              1              592.62                74.16                 587.33                74.00                 
5              2              816.12                79.70                 830.61                80.00                 
6              2              696.32                76.95                 698.46                77.00                 
7              2              483.90                70.65                 493.88                71.00                 
8              2              601.45                74.41                 587.33                74.00                 
9              3              577.18                73.70                 587.33                74.00                 
10             3              824.33                79.87                 830.61                80.00                 
11             3              698.80                77.01                 698.46                77.00                 
12             3              492.72                70.96                 493.88                71.00                 
13             4              594.99                74.22                 587.33                74.00                 
14             4              831.21                80.01                 830.61                80.00                 
15             4              489.13                70.83                 493.88                71.00                 
16             4              692.50                76.85                 698.46                77.00                 
17             5              833.32                80.06                 830.61                80.00                 
18             5              684.38                76.65                 698.46                77.00                 
19             5              504.71                71.38                 493.88                71.00                 
20             5              587.73                74.01                 587.33                74.00                 
21             6              850.36                80.41                 830.61                80.00                 
22             6              697.07                76.97                 698.46                77.00                 
23             6              487.06                70.76                 493.88                71.00                 
24             6              590.96                74.11                 587.33                74.00                 
25             7              482.85                70.61                 493.88                71.00                 
26             7              589.11                74.05                 587.33                74.00                 
27             7              678.64                76.50                 698.46                77.00                 
28             7              827.45                79.93                 830.61                80.00                 
29             8              500.22                71.22                 493.88                71.00                 
30             8              842.49                80.25                 830.61                80.00                 
31             8              687.19                76.72                 698.46                77.00                 
32             8              587.10                73.99                 587.33                74.00                 
33             9              586.16                73.97                 587.33                74.00                 
34             9              498.63                71.17                 493.88                71.00                 
35             9              824.99                79.88                 830.61                80.00                 
36             9              699.58                77.03                 698.46                77.00                 
37             10             504.91                71.38                 493.88                71.00                 
38             10             843.09                80.26                 830.61                80.00                 
39             10             704.05                77.14                 698.46                77.00                 
40             10             572.72                73.56                 587.33                74.00                 
41             11             843.98                80.28                 830.61                80.00                 
42             11             593.25                74.17                 587.33                74.00                 
43             11             692.09                76.84                 698.46                77.00                 
44             11             481.78                70.57                 493.88                71.00                 
45             12             601.20                74.40                 587.33                74.00                 
46             12             480.97                70.54                 493.88                71.00                 
47             12             691.53                76.83                 698.46                77.00                 
48             12             809.23                79.55                 830.61                80.00                 
--------------------------------------------------------------------------------
