trial #        run #          Gen. Frequency, Hz    Gen. Frequency, P     Main Frequency, Hz    Main Frequency, P     
1              1              808.60                79.54                 830.61                80.00                 
2              1              494.82                71.03                 493.88                71.00                 
3              1              705.57                77.18                 698.46                77.00                 
4              1              591.47                74.12                 587.33                74.00                 
5              2              486.53                70.74                 493.88                71.00                 
6              2              681.70                76.58                 698.46                77.00                 
7              2              854.64                80.49                 830.61                80.00                 
8              2              593.86                74.19                 587.33                74.00                 
9              3              707.75                77.23                 698.46                77.00                 
10             3              600.70                74.39                 587.33                74.00                 
11             3              506.66                71.44                 493.88                71.00                 
12             3              828.63                79.96                 830.61                80.00                 
13             4              498.56                71.16                 493.88                71.00                 
14             4              706.99                77.21                 698.46                77.00                 
15             4              584.76                73.92                 587.33                74.00                 
16             4              842.66                80.25                 830.61                80.00                 
17             5              582.18                73.85                 587.33                74.00                 
18             5              835.19                80.10                 830.61                80.00                 
19             5              488.51                70.81                 493.88                71.00                 
20             5              688.90                76.76                 698.46                77.00                 
21             6              500.87                71.24                 493.88                71.00                 
22             6              831.39                80.02                 830.61                80.00                 
23             6              580.37                73.79                 587.33                74.00                 
24             6              711.14                77.31                 698.46                77.00                 
25             7              838.48                80.16                 830.61                80.00                 
26             7              493.95                71.00                 493.88                71.00                 
27             7              692.06                76.84                 698.46                77.00                 
28             7              577.08                73.70                 587.33                74.00                 
29             8              715.04                77.41                 698.46                77.00                 
30             8              505.32                71.40                 493.88                71.00                 
31             8              835.31                80.10                 830.61                80.00                 
32             8              596.20                74.26                 587.33                74.00                 
33             9              709.42                77.27                 698.46                77.00                 
34             9              836.75                80.13                 830.61                80.00                 
35             9              573.51                73.59                 587.33                74.00                 
36             9              503.06                71.32                 493.88                71.00                 
37             10             491.63                70.92                 493.88                71.00                 
38             10             594.64                74.21                 587.33                74.00                 
39             10             705.50                77.17                 698.46                77.00                 
40             10             816.59                79.71                 830.61                80.00                 
41             11             587.83                74.01                 587.33                74.00                 
42             11             494.05                71.01                 493.88                71.00                 
43             11             697.35                76.97                 698.46                77.00                 
44             11             835.48                80.10                 830.61                80.00                 
45             12             488.51                70.81                 493.88                71.00                 
46             12             698.41                77.00                 698.46                77.00                 
47             12             583.70                73.89                 587.33                74.00                 
48             12             831.56                80.02                 830.61                80.00                 
--------------------------------------------------------------------------------
