trial #        run #          Gen. Frequency, Hz    Gen. Frequency, P     Main Frequency, Hz    Main Frequency, P     
1              1              588.12                74.02                 587.33                74.00                 
2              1              696.43                76.95                 698.46                77.00                 
3              1              491.45                70.91                 493.88                71.00                 
4              1              810.04                79.57                 830.61                80.00                 
5              2              685.27                76.67                 698.46                77.00                 
6              2              578.64                73.74                 587.33                74.00                 
7              2              822.40                79.83                 830.61                80.00                 
8              2              505.80                71.41                 493.88                71.00                 
9              3              831.83                80.03                 830.61                80.00                 
10             3              705.94                77.18                 698.46                77.00                 
11             3              576.90                73.69                 587.33                74.00                 
12             3              495.61                71.06                 493.88                71.00                 
13             4              583.62                73.89                 587.33                74.00                 
14             4              851.82                80.44                 830.61                80.00                 
15             4              481.48                70.56                 493.88                71.00                 
16             4              707.21                77.22                 698.46                77.00                 
17             5              683.79                76.63                 698.46                77.00                 
18             5              587.68                74.01                 587.33                74.00                 
19             5              831.98                80.03                 830.61                80.00                 
20             5              505.79                71.41                 493.88                71.00                 
21             6              854.36                80.49                 830.61                80.00                 
22             6              598.63                74.33                 587.33                74.00                 
23             6              717.33                77.46                 698.46                77.00                 
24             6              505.99                71.42                 493.88                71.00                 
25             7              593.05                74.17                 587.33                74.00                 
26             7              842.13                80.24                 830.61                80.00                 
27             7              704.94                77.16                 698.46                77.00                 
28             7              483.93                70.65                 493.88                71.00                 
29             8              701.01                77.06                 698.46                77.00                 
30             8              575.08                73.64                 587.33                74.00                 
31             8              825.12                79.89                 830.61                80.00                 
32             8              497.78                71.14                 493.88                71.00                 
33             9              812.87                79.63                 830.61                80.00                 
34             9              687.19                76.72                 698.46                77.00                 
35             9              494.46                71.02                 493.88                71.00                 
36             9              576.42                73.68                 587.33                74.00                 
37             10             499.73                71.20                 493.88                71.00                 
38             10             704.76                77.16                 698.46                77.00                 
39             10             832.65                80.04                 830.61                80.00                 
40             10             577.34                73.70                 587.33                74.00                 
41             11             580.57                73.80                 587.33                74.00                 
42             11             699.05                77.01                 698.46                77.00                 
43             11             846.92                80.34                 830.61                80.00                 
44             11             499.20                71.19                 493.88                71.00                 
45             12             692.42                76.85                 698.46                77.00                 
46             12             599.21                74.35                 587.33                74.00                 
47             12             498.24                71.15                 493.88                71.00                 
48             12             808.48                79.53                 830.61                80.00                 
--------------------------------------------------------------------------------
