trial #        run #          Gen. Frequency, Hz    Gen. Frequency, P     Main Frequency, Hz    Main Frequency, P     
1              1              686.53                76.70                 698.46                77.00                 
2              1              586.26                73.97                 587.33                74.00                 
3              1              690.21                76.79                 698.46                77.00                 
4              1              575.50                73.65                 587.33                74.00                 
5              1              594.71                74.22                 587.33                74.00                 
6              1              810.02                79.57                 830.61                80.00                 
7              1              853.09                80.46                 830.61                80.00                 
8              1              597.70                74.30                 587.33                74.00                 
9              1              813.76                79.65                 830.61                80.00                 
10             1              503.31                71.33                 493.88                71.00                 
11             1              503.41                71.33                 493.88                71.00                 
12             1              684.76                76.66                 698.46                77.00                 
13             1              485.69                70.71                 493.88                71.00                 
14             1              831.44                80.02                 830.61                80.00                 
15             1              691.76                76.83                 698.46                77.00                 
16             1              484.06                70.65                 493.88                71.00                 
17             2              487.58                70.78                 493.88                71.00                 
18             2              831.28                80.01                 830.61                80.00                 
19             2              600.19                74.38                 587.33                74.00                 
20             2              690.29                76.80                 698.46                77.00                 
21             2              483.52                70.63                 493.88                71.00                 
22             2              820.50                79.79                 830.61                80.00                 
23             2              705.65                77.18                 698.46                77.00                 
24             2              820.18                79.78                 830.61                80.00                 
25             2              811.75                79.60                 830.61                80.00                 
26             2              594.01                74.20                 587.33                74.00                 
27             2              574.69                73.62                 587.33                74.00                 
28             2              708.44                77.25                 698.46                77.00                 
29             2              487.96                70.79                 493.88                71.00                 
30             2              580.69                73.80                 587.33                74.00                 
31             2              717.92                77.48                 698.46                77.00                 
32             2              491.93                70.93                 493.88                71.00                 
33             3              571.96                73.54                 587.33                74.00                 
34             3              822.80                79.84                 830.61                80.00                 
35             3              811.23                79.59                 830.61                80.00                 
36             3              695.08                76.92                 698.46                77.00                 
37             3              493.05                70.97                 493.88                71.00                 
38             3              502.64                71.30                 493.88                71.00                 
39             3              703.55                77.13                 698.46                77.00                 
40             3              810.22                79.57                 830.61                80.00                 
41             3              579.68                73.77                 587.33                74.00                 
42             3              587.97                74.02                 587.33                74.00                 
43             3              832.96                80.05                 830.61                80.00                 
44             3              507.61                71.47                 493.88                71.00                 
45             3              600.22                74.38                 587.33                74.00                 
46             3              494.25                71.01                 493.88                71.00                 
47             3              708.76                77.25                 698.46                77.00                 
48             3              686.15                76.69                 698.46                77.00                 
--------------------------------------------------------------------------------
