trial #        run #          Gen. Frequency, Hz    Gen. Frequency, P     Main Frequency, Hz    Main Frequency, P     
1              1              571.45                73.53                 587.33                74.00                 
2              1              497.43                71.12                 493.88                71.00                 
3              1              815.16                79.68                 830.61                80.00                 
4              1              695.07                76.92                 698.46                77.00                 
5              2              481.19                70.55                 493.88                71.00                 
6              2              603.49                74.47                 587.33                74.00                 
7              2              690.02                76.79                 698.46                77.00                 
8              2              848.84                80.38                 830.61                80.00                 
9              3              688.40                76.75                 698.46                77.00                 
10             3              814.72                79.67                 830.61                80.00                 
11             3              505.08                71.39                 493.88                71.00                 
12             3              584.06                73.90                 587.33                74.00                 
13             4              588.43                74.03                 587.33                74.00                 
14             4              813.96                79.65                 830.61                80.00                 
15             4              482.82                70.61                 493.88                71.00                 
16             4              699.52                77.03                 698.46                77.00                 
17             5              600.05                74.37                 587.33                74.00                 
18             5              851.11                80.42                 830.61                80.00                 
19             5              708.94                77.26                 698.46                77.00                 
20             5              493.41                70.98                 493.88                71.00                 
21             6              497.44                71.12                 493.88                71.00                 
22             6              687.20                76.72                 698.46                77.00                 
23             6              601.40                74.41                 587.33                74.00                 
24             6              849.14                80.38                 830.61                80.00                 
25             7              690.12                76.79                 698.46                77.00                 
26             7              848.92                80.38                 830.61                80.00                 
27             7              501.39                71.26                 493.88                71.00                 
28             7              579.80                73.78                 587.33                74.00                 
29             8              813.33                79.64                 830.61                80.00                 
30             8              485.72                70.71                 493.88                71.00                 
31             8              598.25                74.32                 587.33                74.00                 
32             8              713.18                77.36                 698.46                77.00                 
33             9              820.82                79.79                 830.61                80.00                 
34             9              708.45                77.25                 698.46                77.00                 
35             9              575.85                73.66                 587.33                74.00                 
36             9              486.16                70.73                 493.88                71.00                 
37             10             710.45                77.29                 698.46                77.00                 
38             10             487.69                70.78                 493.88                71.00                 
39             10             574.57                73.62                 587.33                74.00                 
40             10             829.94                79.99                 830.61                80.00                 
41             11             823.99                79.86                 830.61                80.00                 
42             11             574.30                73.61                 587.33                74.00                 
43             11             708.40                77.24                 698.46                77.00                 
44             11             500.01                71.21                 493.88                71.00                 
45             12             481.04                70.54                 493.88                71.00                 
46             12             813.30                79.64                 830.61                80.00                 
47             12             698.66                77.00                 698.46                77.00                 
48             12             603.31                74.46                 587.33                74.00                 
--------------------------------------------------------------------------------
