trial,bet,block,sampleFrequency,reportedFrequency,reactionTime,error, errorP, sampleFreqP,reportedFrequencyP,mainFrequency,mainFreqP,cummulativeScore,stimulusDuration,timeBtwTriggerAndStim
43,1,3.0,717.3902682656488,NaN,NaN,NaN,NaN,77.4630558101471,NaN,698.4564628660078,77.0,0,250,0
43,2,3.0,717.3902682656488,NaN,NaN,NaN,NaN,77.4630558101471,NaN,698.4564628660078,77.0,0,250,0
43,3,3.0,717.3902682656488,NaN,NaN,NaN,NaN,77.4630558101471,NaN,698.4564628660078,77.0,0,250,0
43,4,3.0,717.3902682656488,NaN,NaN,NaN,NaN,77.4630558101471,NaN,698.4564628660078,77.0,0,250,0
43,5,3.0,717.3902682656488,NaN,NaN,NaN,NaN,77.4630558101471,NaN,698.4564628660078,77.0,0,250,0
43,6,3.0,717.3902682656488,NaN,NaN,NaN,NaN,77.4630558101471,NaN,698.4564628660078,77.0,0,250,0
44,1,3.0,853.0069335482178,NaN,NaN,NaN,NaN,80.46064733504726,NaN,830.6093951598903,80.0,0,250,1
44,2,3.0,853.0069335482178,NaN,NaN,NaN,NaN,80.46064733504726,NaN,830.6093951598903,80.0,0,250,1
44,3,3.0,853.0069335482178,NaN,NaN,NaN,NaN,80.46064733504726,NaN,830.6093951598903,80.0,0,250,1
44,4,3.0,853.0069335482178,1368.9552238805968,12948,-515.948290332379,-8.189350630781428,80.46064733504726,88.64999796582867,830.6093951598903,80.0,0.0,250,1
44,5,3.0,853.0069335482178,1288.9552238805968,1069,-435.948290332379,-7.146873292081968,80.46064733504726,87.60752062712922,830.6093951598903,80.0,0.0,250,1
44,6,3.0,853.0069335482178,1219.7014925373132,923,-366.6945589890954,-6.190784820610633,80.46064733504726,86.65143215565789,830.6093951598903,80.0,0.0,250,1
45,1,3.0,816.8846544427983,774.3283582089551,3066,42.55629623384311,0.926242833062641,79.7115462949422,78.78530346187955,830.6093951598903,80.0,7.0,250,1
45,2,3.0,816.8846544427983,703.8805970149253,759,113.00405742787291,2.5776199683258847,79.7115462949422,77.13392632661632,830.6093951598903,80.0,7.0,250,1
45,3,3.0,816.8846544427983,830.4477611940298,823,-13.563106751231544,-0.2850844504238351,79.7115462949422,79.99663074536603,830.6093951598903,80.0,32.0,250,1
45,4,3.0,816.8846544427983,627.4626865671642,844,189.4219678756341,4.567232556536894,79.7115462949422,75.1443137384053,830.6093951598903,80.0,32.0,250,1
45,5,3.0,816.8846544427983,924.776119402985,1011,-107.8914649601868,-2.147661141391787,79.7115462949422,81.85920743633397,830.6093951598903,80.0,32.0,250,1
45,6,3.0,816.8846544427983,493.7313432835821,1023,323.1533111592162,8.716873774027738,79.7115462949422,70.99467252091446,830.6093951598903,80.0,32.0,250,1
46,1,3.0,831.286876966215,940.2985074626865,1354,-109.01163049647153,-2.133268694181063,80.0141149559738,82.14738365015486,830.6093951598903,80.0,0.0,250,1
46,2,3.0,831.286876966215,856.7164179104477,669,-25.429540944232713,-0.5216555936419703,80.0141149559738,80.53577054961576,830.6093951598903,80.0,21.0,250,1
46,3,3.0,831.286876966215,771.9402985074627,719,59.34657845875233,1.2822859473915802,80.0141149559738,78.73182900858221,830.6093951598903,80.0,21.0,250,1
46,4,3.0,831.286876966215,696.7164179104477,694,134.5704590557673,3.0572985166264552,80.0141149559738,76.95681643934734,830.6093951598903,80.0,21.0,250,1
46,5,3.0,831.286876966215,627.4626865671642,685,203.82419039905085,4.869801217568493,80.0141149559738,75.1443137384053,830.6093951598903,80.0,21.0,250,1
46,6,3.0,831.286876966215,552.2388059701492,717,279.0480709960658,7.0806500002705395,80.0141149559738,72.93346495570326,830.6093951598903,80.0,21.0,250,1
47,1,3.0,823.663468310602,1094.3283582089553,1787,-270.6648898983533,-4.919025389518262,79.85461774781953,84.77364313733779,830.6093951598903,80.0,0.0,250,0
47,2,3.0,823.663468310602,1048.9552238805968,976,-225.29175556999485,-4.185914255140143,79.85461774781953,84.04053200295968,830.6093951598903,80.0,0.0,250,0
47,3,3.0,823.663468310602,991.641791044776,759,-167.97832273417407,-3.2131688385881456,79.85461774781953,83.06778658640768,830.6093951598903,80.0,0.0,250,0
47,4,3.0,823.663468310602,1026.2686567164178,702,-202.60518840581585,-3.807378496776363,79.85461774781953,83.6619962445959,830.6093951598903,80.0,0.0,250,0
47,5,3.0,823.663468310602,967.7611940298507,712,-144.09772571924873,-2.79115304925013,79.85461774781953,82.64577079706966,830.6093951598903,80.0,0.0,250,0
47,6,3.0,823.663468310602,1003.5820895522387,692,-179.91862124163674,-3.42038065387364,79.85461774781953,83.27499840169317,830.6093951598903,80.0,0.0,250,0
48,1,3.0,497.88337810316347,389.85074626865674,1900,108.03263183450673,4.234631465497071,71.1396519349134,66.90502046941633,493.8833012561241,71.0,0.0,250,1
48,2,3.0,497.88337810316347,420.8955223880597,796,76.98785571510376,2.9081482766203686,71.1396519349134,68.23150365829304,493.8833012561241,71.0,0.0,250,1
48,3,3.0,497.88337810316347,NaN,800,NaN,NaN,71.1396519349134,NaN,493.8833012561241,71.0,0.0,250,1
48,4,3.0,497.88337810316347,436.4179104477612,1488,61.46546765540228,2.281170492624993,71.1396519349134,68.85848144228841,493.8833012561241,71.0,0.0,250,1
48,5,3.0,497.88337810316347,411.3432835820895,783,86.54009452107397,3.3055795716027463,71.1396519349134,67.83407236331065,493.8833012561241,71.0,0.0,250,1
48,6,3.0,497.88337810316347,NaN,968,NaN,NaN,71.1396519349134,NaN,493.8833012561241,71.0,0.0,250,1
